system:index,Name,istarget,s1_2019,.geo
00000000000000000869_0,53E,0,"[[0.3453351557254791], [0.3359375298023224], [0.3104212284088135], [0.30237656831741333], [0.43028298020362854], [0.19822537899017334], [0.4125693738460541], [0.2753952741622925], [0.27885833382606506], [0.22396820783615112], [0.34395545721054077], [0.4151122570037842], [0.3188629150390625], [0.5330360531806946], [0.2610919177532196], [0.6209527254104614]]",
0000000000000000086a_0,53E,0,"[[0.4201933741569519], [0.47475045919418335], [0.3297883868217468], [0.40990257263183594], [0.3683367967605591], [0.13474999368190765], [0.3089557886123657], [0.18487800657749176], [0.37080880999565125], [0.13736844062805176], [0.4620133340358734], [0.5392726063728333], [0.29956361651420593], [0.5355184674263], [0.3661107122898102], [0.6618226766586304]]",
0000000000000000086b_0,53E,0,"[[0.22144006192684174], [0.3804233968257904], [0.2166765183210373], [0.3002048134803772], [0.31659549474716187], [0.290669322013855], [0.34109705686569214], [0.13943272829055786], [0.21541453897953033], [0.2387930303812027], [0.22195081412792206], [0.47209325432777405], [0.19720573723316193], [0.6126003265380859], [0.27919724583625793], [0.6441775560379028]]",
0000000000000000086c_0,17k,0,"[[0.39281827211380005], [0.20143593847751617], [0.28633588552474976], [0.37099772691726685], [0.26657435297966003], [0.1976587474346161], [0.2978263199329376], [0.2920915186405182], [0.4151405990123749], [0.34385988116264343], [0.4911463260650635], [0.5463494062423706], [0.31847602128982544], [0.3220922350883484], [0.3919839859008789], [0.4765896201133728]]",
0000000000000000086d_0,17k,0,"[[0.3623984158039093], [0.4020240306854248], [0.1643686592578888], [0.34438762068748474], [0.3453913927078247], [0.19965402781963348], [0.4146178364753723], [0.2619918882846832], [0.5077100992202759], [0.12472565472126007], [0.3145527243614197], [0.21204990148544312], [0.28780409693717957], [0.2931010127067566], [0.24762114882469177], [0.3626165986061096]]",
0000000000000000086e_0,17k,0,"[[0.25949952006340027], [0.2894989848136902], [0.26532045006752014], [0.33067768812179565], [0.30567118525505066], [0.23532229661941528], [0.22647950053215027], [0.4172794818878174], [0.30153822898864746], [0.28933680057525635], [0.2658188045024872], [0.19455552101135254], [0.4222145974636078], [0.6092873811721802], [0.24251998960971832], [0.511631190776825]]",
0000000000000000086f_0,50,0,"[[0.6523342132568359], [0.3139398992061615], [0.31237107515335083], [0.4388541579246521], [0.22048020362854004], [0.1787358522415161], [0.1716589480638504], [0.24028849601745605], [0.2936188876628876], [0.4426952302455902], [0.1496892124414444], [0.22912244498729706], [0.7230322360992432], [0.8535791635513306], [0.6043404936790466], [0.8557615280151367]]",
00000000000000000870_0,50,0,"[[0.6623634099960327], [0.25026124715805054], [0.2744072675704956], [0.18348197638988495], [0.23975488543510437], [0.18899378180503845], [0.2112245261669159], [0.43369969725608826], [0.15339258313179016], [0.2551736533641815], [0.19427096843719482], [0.23691388964653015], [0.7344603538513184], [0.8754867315292358], [0.7884406447410583], [0.9195089340209961]]",
00000000000000000871_0,50,0,"[[0.2923157811164856], [0.41316014528274536], [0.19188180565834045], [0.2817862927913666], [0.3453184962272644], [0.3111908435821533], [0.346695214509964], [0.23727668821811676], [0.1522134244441986], [0.21657834947109222], [0.2831987142562866], [0.23137348890304565], [0.637214183807373], [0.8153008818626404], [0.23605257272720337], [0.8027498722076416]]",
00000000000000000872_0,51,0,"[[0.48147743940353394], [0.3204447031021118], [0.6063029170036316], [0.2957361340522766], [0.2016485333442688], [0.17700165510177612], [0.2136041224002838], [0.13800454139709473], [0.34778547286987305], [0.1965605914592743], [0.33812180161476135], [0.5638187527656555], [0.8772619962692261], [0.9587554931640625], [0.8509224653244019], [0.7447988390922546]]",
00000000000000000873_0,51,0,"[[0.7136722207069397], [0.4086560308933258], [0.310053288936615], [0.38534843921661377], [0.21943017840385437], [0.40418490767478943], [0.28707805275917053], [0.18570148944854736], [0.22533592581748962], [0.25769567489624023], [0.4221569299697876], [0.5319969654083252], [0.8202083110809326], [0.8478163480758667], [0.8499305248260498], [0.9013555645942688]]",
00000000000000000874_0,51,0,"[[0.5128596425056458], [0.22830693423748016], [0.14214125275611877], [0.15553605556488037], [0.30667951703071594], [0.27866193652153015], [0.17036953568458557], [0.1660916805267334], [0.2387239933013916], [0.3362154960632324], [0.3036969304084778], [0.4647217392921448], [0.7706203460693359], [0.8972009420394897], [0.880908727645874], [0.9137559533119202]]",
00000000000000000a24_0,58k,0,"[[0.3083330988883972], [0.24843847751617432], [0.3294423520565033], [0.21013736724853516], [0.44505539536476135], [0.35302218794822693], [0.5583803653717041], [0.40160971879959106], [0.34806376695632935], [0.20921175181865692], [0.38759055733680725], [0.2879581153392792], [0.25880202651023865], [0.3331925868988037], [0.34291258454322815], [0.5482954978942871]]",
00000000000000000a25_0,58k,0,"[[0.47217392921447754], [0.3420155644416809], [0.23230601847171783], [0.3302687406539917], [0.5653400421142578], [0.49274930357933044], [0.47434717416763306], [0.35487091541290283], [0.4930194020271301], [0.18040283024311066], [0.4491851329803467], [0.49568426609039307], [0.5558133125305176], [0.39758461713790894], [0.3521678149700165], [0.7470231056213379]]",
00000000000000000a26_0,58k,0,"[[0.3538217842578888], [0.5407048463821411], [0.4571371078491211], [0.2552303969860077], [0.35777735710144043], [0.29862454533576965], [0.4658818542957306], [0.26138588786125183], [0.5730975270271301], [0.5069645643234253], [0.4588289260864258], [0.47373297810554504], [0.42051368951797485], [0.2737042009830475], [0.24621516466140747], [0.43679141998291016]]",
