system:index,Name,istarget,s1_2020,.geo
00000000000000000c70_0,p2020_371,0,"[[0.6274426579475403], [0.4162369966506958], [0.1422622799873352], [0.23190215229988098], [0.2018556445837021], [0.24277770519256592], [0.20850405097007751], [0.3407958745956421], [0.19733193516731262], [0.35398051142692566], [0.5211231708526611], [0.5144277811050415], [0.16967186331748962], [0.6603728532791138], [0.8826205730438232], [0.8991380929946899]]",
00000000000000000c71_0,p2020_371,0,"[[0.6018553376197815], [0.30449196696281433], [0.33883336186408997], [0.23533301055431366], [0.20876549184322357], [0.2742604613304138], [0.22676369547843933], [0.2405642569065094], [0.13489535450935364], [0.31301841139793396], [0.34002068638801575], [0.20047593116760254], [0.19375130534172058], [0.7168781757354736], [0.780880868434906], [0.8445462584495544]]",
00000000000000000c72_0,p2020_371,0,"[[0.8080750107765198], [0.7744854092597961], [0.22669370472431183], [0.18877707421779633], [0.2768104076385498], [0.13194520771503448], [0.30369850993156433], [0.1855941116809845], [0.32402878999710083], [0.32860222458839417], [0.2287881225347519], [0.3890724778175354], [0.21234065294265747], [0.6546300649642944], [0.8281499743461609], [0.8958288431167603]]",
00000000000000000c73_0,p2020_371,0,"[[0.6884205341339111], [0.4740641713142395], [0.20456112921237946], [0.3661062717437744], [0.21067139506340027], [0.18535636365413666], [0.325292706489563], [0.3341187834739685], [0.4277196526527405], [0.5136578679084778], [0.5735419988632202], [0.18357382714748383], [0.3684849441051483], [0.722028911113739], [0.8585804104804993], [0.8465090990066528]]",
00000000000000000c74_0,p2020_371,0,"[[0.723509669303894], [0.5317721962928772], [0.21359287202358246], [0.26383176445961], [0.4742994010448456], [0.11646623909473419], [0.21411320567131042], [0.25651130080223083], [0.21691128611564636], [0.41612449288368225], [0.5825538039207458], [0.23094148933887482], [0.2859342098236084], [0.659458577632904], [0.8944271206855774], [0.9142472147941589]]",
00000000000000000c75_0,p2020_371,0,"[[0.5781522989273071], [0.4076884090900421], [0.2303798943758011], [0.2074124664068222], [0.17333252727985382], [0.26350316405296326], [0.2514128088951111], [0.2190866470336914], [0.254407674074173], [0.38579243421554565], [0.26388904452323914], [0.4416990876197815], [0.3043851852416992], [0.763458251953125], [0.8442307114601135], [0.8982371687889099]]",
00000000000000000c76_0,p2020_371,0,"[[0.8192206621170044], [0.5158256888389587], [0.2024526447057724], [0.40520918369293213], [0.13548268377780914], [0.3270632326602936], [0.1362563520669937], [0.25017696619033813], [0.12443115562200546], [0.44423484802246094], [0.20844785869121552], [0.43117740750312805], [0.21488603949546814], [0.75998854637146], [0.8506192564964294], [0.8342519998550415]]",
00000000000000000c77_0,p2020_371,0,"[[0.7059317231178284], [0.5953676104545593], [0.40754368901252747], [0.21537238359451294], [0.2170194834470749], [0.14924287796020508], [0.31526222825050354], [0.1924077570438385], [0.38471266627311707], [0.297884464263916], [0.46024376153945923], [0.3640764355659485], [0.3323800265789032], [0.7776008248329163], [0.87657231092453], [0.8841108679771423]]",
00000000000000000c78_0,p2020_373,0,"[[0.6889960169792175], [0.6450632810592651], [0.4046539068222046], [0.458942711353302], [0.49779021739959717], [0.3158353269100189], [0.21288838982582092], [0.2085927128791809], [0.29352128505706787], [0.2444881945848465], [0.4429517090320587], [0.3763900697231293], [0.14860141277313232], [0.3060986399650574], [0.31822991371154785], [0.4308416247367859]]",
00000000000000000c79_0,p2020_373,0,"[[0.6657519340515137], [0.7598065733909607], [0.5731422305107117], [0.5976836681365967], [0.30347198247909546], [0.5750935077667236], [0.3490680456161499], [0.31201472878456116], [0.2341490387916565], [0.21392296254634857], [0.38098078966140747], [0.19145068526268005], [0.420180082321167], [0.46702343225479126], [0.44572800397872925], [0.3795218765735626]]",
00000000000000000c7a_0,p2020_373,0,"[[0.6219998598098755], [0.6638365387916565], [0.29405105113983154], [0.2808806300163269], [0.5366135239601135], [0.27934518456459045], [0.25480473041534424], [0.2456888109445572], [0.26622551679611206], [0.4356251657009125], [0.35194411873817444], [0.567835807800293], [0.35759633779525757], [0.3770800232887268], [0.510262131690979], [0.3108254075050354]]",
00000000000000000c7b_0,p2020_373,0,"[[0.5529165863990784], [0.6326466798782349], [0.3653775453567505], [0.23354259133338928], [0.40772712230682373], [0.29454779624938965], [0.33222752809524536], [0.33302217721939087], [0.17173106968402863], [0.15216678380966187], [0.5512654185295105], [0.5930320620536804], [0.38789448142051697], [0.44807761907577515], [0.5314836502075195], [0.740201473236084]]",
00000000000000000c7c_0,p2020_373,0,"[[0.5956522226333618], [0.713063657283783], [0.5096798539161682], [0.16672459244728088], [0.38894155621528625], [0.3387886881828308], [0.13261985778808594], [0.3555481433868408], [0.25792673230171204], [0.2755643129348755], [0.6029602289199829], [0.259801983833313], [0.4210464060306549], [0.19597086310386658], [0.23110835254192352], [0.4668179154396057]]",
00000000000000000c7d_0,p2020_373,0,"[[0.5003064274787903], [0.7275885343551636], [0.5569367408752441], [0.5021615028381348], [0.42556628584861755], [0.4111728370189667], [0.218638613820076], [0.22002404928207397], [0.1489417552947998], [0.2357558310031891], [0.386477530002594], [0.29070180654525757], [0.3972247242927551], [0.4559147357940674], [0.45203742384910583], [0.3875381648540497]]",
00000000000000000c7e_0,p2020_376,0,"[[0.8143693208694458], [0.7565959692001343], [0.6502066254615784], [0.3169788420200348], [0.4059034585952759], [0.2710054814815521], [0.22785866260528564], [0.12462855130434036], [0.20108740031719208], [0.30056437849998474], [0.5048346519470215], [0.25455406308174133], [0.35723280906677246], [0.32006099820137024], [0.5254952907562256], [0.3704352378845215]]",
